(0,0)
(0,0)
(0,1)
(0,1)
(0,2)
(0,2)
(0,3)
(0,3)
(0,4)
(0,4)
(0,5)
(0,5)
(1,5)
(1,5)
(1,5)
(1,4)
(1,4)
(1,6)
(1,6)
(1,6)
(1,3)
(1,3)
(0,6)
(0,6)
(2,6)
(2,6)
(1,2)
(1,2)
(0,7)
(0,7)
(2,5)
(2,5)
(2,5)
(1,1)
(1,1)
(0,8)
(0,8)
(2,4)
(3,5)
(3,5)
(3,5)
(1,0)
(1,8)
(1,8)
(1,8)
(3,4)
(3,4)
(3,6)
(3,6)
(1,9)
(1,9)
(2,8)
(2,8)
(2,8)
(3,3)
(3,3)
(3,3)
(3,3)
(3,7)
(3,7)
(0,9)
(2,7)
(2,7)
(3,8)
(3,8)
(3,8)
(3,2)
(3,2)
(2,3)
(4,3)
(4,3)
(4,3)
(4,7)
(4,7)
(4,7)
(1,7)
(3,9)
(4,8)
(2,2)
(2,2)
(4,2)
(4,2)
(4,4)
(4,4)
(4,6)
(4,6)
(4,6)
(5,7)
(5,7)
(2,1)
(2,1)
(5,2)
(5,2)
(5,4)
(5,4)
(5,4)
(5,4)
(4,5)
(5,6)
(6,7)
(6,7)
(2,0)
(2,0)
(5,1)
(5,1)
(5,1)
(5,3)
(5,3)
(5,5)
(5,5)
(6,4)
(6,4)
(6,8)
(6,8)
(3,0)
(5,0)
(5,0)
(6,1)
(6,3)
(6,3)
(6,5)
(6,5)
(7,4)
(6,9)
(6,9)
(4,0)
(4,0)
(6,2)
(6,2)
(6,6)
(6,6)
(5,9)
(5,9)
(4,1)
(4,1)
(7,2)
(7,6)
(7,6)
(7,6)
(5,8)
(3,1)
(7,5)
(7,5)
(7,7)
(8,5)
(8,5)
(8,6)
(8,6)
(8,6)
(8,7)
(9,6)
(9,6)
(9,6)
(9,5)
(9,5)
(10,6)
(10,5)
(10,5)
(10,5)
(10,4)
(10,4)
(10,4)
(11,5)
(9,4)
(9,4)
(11,4)
(11,4)
(9,3)
(9,3)
(9,3)
(11,3)
(11,3)
(11,3)
(9,2)
(9,2)
(8,3)
(8,3)
(8,3)
(10,3)
(10,3)
(12,3)
(12,3)
(12,3)
(8,2)
(8,4)
(7,3)
(10,2)
(10,2)
(12,4)
(12,4)
(12,4)
(13,3)
(13,3)
(11,2)
(11,2)
(11,2)
(12,5)
(12,5)
(12,5)
(13,4)
(13,4)
(13,2)
(11,1)
(12,2)
(12,2)
(12,6)
(12,6)
(13,5)
(13,5)
(14,4)
(14,4)
(14,4)
(12,1)
(12,1)
(12,1)
(12,7)
(12,7)
(12,7)
(13,6)
(13,6)
(14,5)
(14,5)
(15,4)
(12,0)
(12,0)
(12,0)
