(0,0)
(0,0)
(0,1)
(0,1)
(0,1)
(0,2)
(0,2)
(1,1)
(1,1)
(1,2)
(1,2)
(1,0)
(1,3)
(1,3)
(1,3)
(0,3)
(2,3)
(2,3)
(2,3)
(2,4)
(3,3)
(3,3)
(3,3)
(3,2)
(3,2)
(3,2)
(4,3)
(4,3)
(4,3)
(3,1)
(2,2)
(2,2)
(4,2)
(4,2)
(4,4)
(4,4)
(4,4)
(2,1)
(2,1)
(5,2)
(5,2)
(4,5)
(4,5)
(4,5)
(3,4)
(2,0)
(2,0)
(6,2)
(6,2)
(3,5)
(3,5)
(5,5)
(5,5)
(5,5)
(3,0)
(7,2)
(7,2)
(2,5)
(2,5)
(5,6)
(5,6)
(6,5)
(6,5)
(6,5)
(7,3)
(7,3)
(7,3)
(7,3)
(1,5)
(1,5)
(5,7)
(5,7)
(6,6)
(6,6)
(7,5)
(7,5)
(7,4)
(7,4)
(6,3)
(6,3)
(6,3)
(8,3)
(8,3)
(1,4)
(1,4)
(5,8)
(6,7)
(8,5)
(8,5)
(8,4)
(6,4)
(6,4)
(5,3)
(9,3)
(9,3)
(9,3)
(0,4)
(0,4)
(8,6)
(5,4)
(9,4)
(9,4)
(9,4)
(10,3)
(10,3)
(0,5)
(9,5)
(9,5)
(10,4)
(10,4)
(10,4)
(10,2)
(10,2)
(10,2)
(9,6)
(10,5)
(10,5)
(11,4)
(11,4)
(10,1)
(10,1)
(10,1)
(9,2)
(9,2)
(10,6)
(10,6)
(12,4)
(12,4)
(10,0)
(10,0)
(11,1)
(9,1)
(9,1)
(10,7)
(10,7)
(12,5)
(11,0)
(11,0)
(9,0)
(9,0)
(9,7)
(12,0)
(12,0)
(8,0)
(8,0)
(13,0)
(13,0)
(13,0)
(7,0)
(7,0)
(7,0)
(13,1)
(13,1)
(14,0)
(14,0)
(7,1)
(7,1)
(6,0)
(6,0)
(6,0)
(13,2)
(13,2)
(14,1)
(14,1)
(8,1)
(8,1)
(6,1)
(5,0)
(5,0)
(14,2)
(14,2)
(15,1)
(8,2)
(4,0)
(4,0)
(14,3)
(14,3)
(4,1)
(4,1)
(15,3)
(15,3)
(15,3)
(15,3)
(5,1)
(15,2)
(15,4)
(15,4)
(15,4)
(16,3)
(16,3)
(15,5)
(15,5)
(15,5)
(14,4)
(17,3)
(17,3)
(15,6)
(15,6)
(14,5)
(14,5)
(14,5)
(18,3)
(18,3)
(18,3)
(16,6)
(16,6)
(16,6)
(16,6)
(14,6)
(13,5)
(13,5)
(13,5)
(18,2)
(18,2)
(18,4)
(18,4)
(18,4)
(16,5)
(16,7)
(16,7)
(17,6)
(17,6)
(17,6)
(13,4)
(13,4)
(13,6)
